Element,X,y
inst_2440,25,0
inst_2005,33,0
inst_55576,101,120
inst_13583,101,120
inst_83475,101,60
inst_40481,101,120
inst_95803,101,120
inst_82845,101,180
inst_24380,101,210
inst_67804,101,210
inst_53844,101,120
inst_35829,101,210
inst_69046,101,180
inst_70446,101,180
inst_83781,101,120
inst_98910,101,150
inst_30223,101,210
inst_34228,101,60
inst_1518,101,120
inst_85165,101,150
inst_86937,101,150
inst_89575,101,60
inst_54990,101,120
inst_76098,101,120
inst_93988,101,60
inst_64235,101,90
inst_33751,101,210
inst_95163,101,180
inst_22898,101,210
inst_52354,101,60
inst_33659,101,210
inst_82862,101,180
inst_48410,101,60
inst_31506,101,120
inst_98010,101,180
inst_43434,101,60
inst_47033,101,210
inst_76511,101,60
inst_91447,101,120
inst_44876,101,120
inst_65085,101,120
inst_1902,101,120
inst_51878,101,60
inst_55921,101,120
inst_50688,101,180
inst_86881,101,150
inst_48875,101,60
inst_101314,101,120
inst_17698,101,60
inst_100122,101,180
inst_38196,101,60
inst_77214,101,60
inst_86564,101,150
inst_57550,101,180
inst_2998,101,180
inst_79462,101,150
inst_93542,101,60
inst_71017,101,120
inst_35962,101,120
inst_53973,101,120
inst_39230,101,120
inst_7750,101,120
inst_8936,101,120
inst_31104,101,180
inst_69527,101,90
inst_94949,101,60
inst_10511,101,180
inst_21228,101,210
inst_63765,101,60
inst_96747,101,210
inst_103216,101,60
inst_66609,101,60
inst_28836,101,180
inst_77306,101,120
inst_12526,101,210
inst_79608,101,60
inst_57249,101,150
inst_33420,101,120
inst_58035,101,180
inst_80631,101,60
inst_13800,101,60
inst_81241,101,180
inst_97216,101,180
inst_75163,101,210
inst_60772,101,210
inst_40051,101,60
inst_53178,101,120
inst_9132,101,210
inst_93399,101,210
inst_53960,101,120
inst_10961,101,210
inst_80810,101,210
inst_33009,101,60
inst_17586,101,150
inst_71701,101,210
inst_62362,101,210
inst_4351,101,210
inst_20598,101,210
inst_44049,101,210
inst_74737,101,180
inst_97634,101,150
inst_4482,101,60
inst_22503,101,210
inst_104923,101,60
inst_54230,101,120
inst_33719,101,180
inst_14443,101,90
inst_31526,101,120
inst_964,101,120
inst_34566,101,60
inst_1504,101,180
inst_79808,101,120
inst_19407,101,210
inst_71680,101,120
inst_57660,101,180
inst_61689,101,210
inst_20289,101,210
inst_41384,101,60
inst_6046,101,210
inst_43854,101,60
inst_71638,101,210
inst_82066,101,180
inst_59659,101,150
inst_15558,101,180
inst_40367,101,60
inst_7665,101,60
inst_91255,101,60
inst_90231,101,120
inst_79267,101,60
inst_46349,101,210
inst_68455,101,120
inst_3077,101,150
inst_66868,101,120
inst_18004,101,180
inst_66942,101,60
inst_53015,101,120
inst_91959,101,120
inst_73983,101,180
inst_77323,101,120
inst_97691,101,120
inst_23993,101,210
inst_77207,101,60
inst_731,101,210
inst_104784,101,210
inst_53636,101,120
inst_68724,101,210
inst_13548,101,90
inst_60937,101,60
inst_26015,101,60
inst_83997,101,120
inst_40812,101,210
inst_89936,101,120
inst_86528,101,60
inst_14307,101,150
inst_83597,101,180
inst_27394,101,150
inst_3264,101,60
inst_65590,101,120
inst_64129,101,120
inst_94229,101,180
inst_10657,101,210
inst_44144,101,60
inst_103228,101,180
inst_98050,101,60
inst_98388,101,180
inst_77362,101,120
inst_39853,101,120
inst_45740,101,120
inst_80597,101,180
inst_56039,101,120
inst_62661,101,210
inst_38903,101,120
inst_57191,101,150
inst_43816,101,120
inst_74714,101,180
inst_19312,101,210
inst_72069,101,60
inst_48707,101,180
inst_9701,101,120
inst_15561,101,180
inst_67552,101,210
inst_3563,101,120
inst_9698,101,60
inst_60137,101,60
inst_51234,101,210
inst_26837,101,180
inst_66581,101,60
inst_90585,101,150
inst_54011,101,120
inst_14692,101,90
inst_22530,101,210
inst_93488,101,120
inst_84693,101,60
inst_75334,101,210
inst_10899,101,60
inst_90573,101,150
inst_87313,101,180
inst_16738,101,210
inst_38651,101,210
inst_85035,101,210
inst_13972,101,210
inst_51962,101,210
inst_75066,101,210
inst_74453,101,180
inst_77366,101,180
inst_29486,101,180
inst_16637,101,150
inst_88549,101,120
inst_53550,101,120
inst_25733,101,60
inst_37387,101,210
inst_73773,101,180
inst_50467,101,120
inst_11074,101,180
inst_50939,101,210
inst_60160,101,60
inst_88980,101,120
inst_28165,101,210
inst_51759,101,210
inst_58677,101,180
inst_16945,101,120
inst_5271,101,180
inst_31122,101,180
inst_54156,101,120
inst_104934,101,120
inst_64177,101,60
inst_102162,101,210
inst_90359,101,120
inst_77930,101,120
inst_9179,101,120
inst_69918,101,120
inst_68612,101,180
inst_859,101,180
inst_88852,101,150
inst_85017,101,150
inst_84451,101,210
inst_16382,101,210
inst_26710,101,150
inst_67025,101,60
inst_65799,101,60
inst_74788,101,180
inst_10957,101,60
inst_42732,101,180
inst_75062,101,210
inst_104178,101,60
inst_91150,101,210
inst_5226,101,120
inst_76337,101,120
inst_13630,101,60
inst_96084,101,150
inst_102112,101,210
inst_5192,101,150
inst_19110,101,90
inst_8652,101,210
inst_70694,101,210
inst_3418,101,150
inst_97148,101,120
inst_96119,101,150
inst_51939,101,180
inst_55762,101,120
inst_5269,101,60
inst_78319,101,120
inst_35294,101,120
inst_52053,101,180
inst_91609,101,210
inst_77981,101,150
inst_4864,101,210
inst_103176,101,120
inst_18281,101,90
inst_70280,101,120
inst_38326,101,60
inst_47748,101,60
inst_50011,101,120
inst_78828,101,120
inst_1059,101,60
inst_73140,101,90
inst_73372,101,120
inst_55954,101,120
inst_15353,101,60
inst_60088,101,180
inst_94298,101,150
inst_96017,101,210
inst_53339,101,120
inst_76952,101,120
inst_70770,101,180
inst_10121,101,60
inst_14717,101,90
inst_88901,101,150
inst_87808,101,120
inst_48143,101,60
inst_54574,101,120
inst_59695,101,210
inst_63254,101,120
inst_56326,101,120
inst_92142,101,120
inst_58055,101,180
inst_104764,101,210
inst_86315,101,150
inst_31387,101,210
inst_46715,101,120
inst_95051,101,180
inst_610,101,210
inst_11517,101,210
inst_79072,101,180
inst_19668,101,210
inst_99347,101,150
inst_61511,101,60
inst_30152,101,60
inst_81759,101,180
inst_74291,101,180
inst_9046,101,60
inst_36476,101,180
inst_90776,101,150
inst_75679,101,180
inst_5625,101,210
inst_69334,101,60
inst_72848,101,90
inst_27085,101,150
inst_51527,101,120
inst_79806,101,120
inst_3721,101,60
inst_51478,101,210
inst_87732,101,150
inst_31268,101,60
inst_57271,101,210
inst_6453,101,210
inst_94962,101,180
inst_50389,101,180
inst_103795,101,180
inst_61274,101,60
inst_30195,101,180
inst_27817,101,120
inst_33787,101,180
inst_103190,101,120
inst_2430,101,90
inst_37544,101,180
inst_29250,101,210
inst_64839,101,90
inst_74777,101,120
inst_72096,101,90
inst_10194,101,60
